arm,qwk,qwk_sem,count
B6,0.7554413439960062,0.0021047193986537425,8
A6,0.7820122541992964,0.004149205870476005,10
A2,0.7864446600377554,0.0028784294787389,10
A3,0.7864446600377554,0.0028784294787389,10
A5,0.7891832180947024,0.001406662201649998,10
B1,0.7892443492157992,0.003159748710125748,10
B4,0.7907170766633616,0.0013178063720660543,10
A4,0.7913797586864406,0.0011371616497239778,10
B3,0.7949735174386843,0.00310574978844344,10
A1,0.7980606570009054,0.0013194487253452884,10
B2,0.8048176397018812,0.002115690274584164,10
A7,0.8058048011520231,0.00224261597333486,10
