arm,qwk,qwk_sem,count
B6,0.7499204290414037,0.004207030192185182,8
A5,0.7742480815176602,0.0031928970959682976,10
A6,0.781566322904412,0.0019681109302134765,10
A4,0.7860648444438642,0.0032304641106331963,10
A2,0.792649828398843,0.004369934720538402,10
A3,0.792649828398843,0.004369934720538402,10
B4,0.796833073407531,0.003498351072148009,10
B3,0.7978183551988864,0.004015364808754226,10
B1,0.7994255588802185,0.004362110586685455,10
B2,0.7998371161214,0.002842012188669487,10
A1,0.805682195489843,0.006032837384719891,10
A7,0.8063663729212802,0.003684645570846274,10
